Month	L	M	S	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
165	-1.6482	18.8095	0.12125	12.952	14.145	15.338	16.841	18.81	21.534	25.635	32.772	39.909
166	-1.6394	18.8746	0.12148	12.984	14.184	15.384	16.895	18.875	21.613	25.731	32.88	40.03
167	-1.6304	18.9398	0.1217	13.015	14.222	15.429	16.95	18.94	21.691	25.825	32.985	40.144
168	-1.6211	19.005	0.12191	13.047	14.261	15.475	17.004	19.005	21.77	25.918	33.084	40.25
169	-1.6116	19.0701	0.12212	13.078	14.299	15.521	17.058	19.07	21.848	26.011	33.182	40.353
170	-1.602	19.1351	0.12233	13.109	14.337	15.566	17.113	19.135	21.926	26.103	33.279	40.454
171	-1.5921	19.2	0.12253	13.139	14.375	15.611	17.167	19.2	22.004	26.194	33.371	40.547
172	-1.5821	19.2648	0.12272	13.17	14.414	15.657	17.221	19.265	22.081	26.284	33.459	40.634
173	-1.5719	19.3294	0.12291	13.201	14.451	15.702	17.275	19.329	22.158	26.373	33.546	40.718
174	-1.5615	19.3937	0.1231	13.231	14.489	15.747	17.329	19.394	22.235	26.462	33.631	40.8
175	-1.551	19.4578	0.12328	13.261	14.526	15.791	17.382	19.458	22.311	26.549	33.712	40.875
176	-1.5403	19.5217	0.12346	13.29	14.563	15.836	17.435	19.522	22.387	26.635	33.791	40.948
177	-1.5294	19.5853	0.12363	13.319	14.6	15.88	17.489	19.585	22.462	26.72	33.866	41.013
178	-1.5185	19.6486	0.1238	13.348	14.636	15.924	17.541	19.649	22.537	26.804	33.941	41.078
179	-1.5074	19.7117	0.12396	13.377	14.672	15.968	17.594	19.712	22.611	26.887	34.012	41.137
180	-1.4961	19.7744	0.12412	13.405	14.708	16.011	17.647	19.774	22.685	26.969	34.081	41.192
181	-1.4848	19.8367	0.12428	13.433	14.744	16.054	17.699	19.837	22.758	27.051	34.149	41.247
182	-1.4733	19.8987	0.12443	13.461	14.779	16.097	17.75	19.899	22.831	27.13	34.213	41.295
183	-1.4617	19.9603	0.12458	13.488	14.814	16.14	17.802	19.96	22.903	27.21	34.275	41.341
184	-1.45	20.0215	0.12473	13.515	14.848	16.182	17.853	20.022	22.975	27.288	34.337	41.386
185	-1.4382	20.0823	0.12487	13.541	14.882	16.224	17.904	20.082	23.046	27.365	34.395	41.425
186	-1.4263	20.1427	0.12501	13.567	14.916	16.265	17.954	20.143	23.116	27.441	34.452	41.462
187	-1.4143	20.2026	0.12514	13.593	14.95	16.306	18.004	20.203	23.186	27.515	34.505	41.495
188	-1.4022	20.2621	0.12528	13.618	14.982	16.347	18.053	20.262	23.255	27.59	34.559	41.529
189	-1.39	20.3211	0.12541	13.643	15.015	16.387	18.103	20.321	23.324	27.662	34.61	41.558
190	-1.3777	20.3796	0.12554	13.667	15.047	16.427	18.151	20.38	23.391	27.734	34.66	41.585
191	-1.3653	20.4376	0.12567	13.69	15.078	16.466	18.199	20.438	23.459	27.805	34.708	41.611
192	-1.3529	20.4951	0.12579	13.714	15.109	16.505	18.247	20.495	23.525	27.875	34.754	41.632
193	-1.3403	20.5521	0.12591	13.736	15.14	16.543	18.295	20.552	23.591	27.943	34.797	41.651
194	-1.3277	20.6085	0.12603	13.759	15.17	16.581	18.342	20.608	23.656	28.011	34.84	41.67
195	-1.3149	20.6644	0.12615	13.78	15.199	16.619	18.388	20.664	23.721	28.078	34.881	41.685
196	-1.3021	20.7197	0.12627	13.801	15.228	16.656	18.434	20.72	23.785	28.143	34.922	41.7
197	-1.2892	20.7745	0.12638	13.822	15.257	16.692	18.479	20.774	23.847	28.207	34.959	41.711
198	-1.2762	20.8287	0.1265	13.842	15.285	16.728	18.524	20.829	23.91	28.271	34.997	41.723
199	-1.2631	20.8824	0.12661	13.861	15.312	16.763	18.568	20.882	23.972	28.334	35.032	41.73
200	-1.2499	20.9355	0.12672	13.88	15.339	16.798	18.612	20.936	24.032	28.395	35.066	41.736
201	-1.2366	20.9881	0.12683	13.898	15.365	16.833	18.655	20.988	24.093	28.456	35.098	41.741
202	-1.2233	21.04	0.12694	13.916	15.391	16.867	18.698	21.04	24.152	28.515	35.13	41.744
203	-1.2098	21.0914	0.12704	13.933	15.417	16.9	18.741	21.091	24.211	28.573	35.158	41.743
204	-1.1962	21.1423	0.12715	13.95	15.441	16.933	18.782	21.142	24.269	28.63	35.187	41.743
